FrameCnt,focal_length,datetime,OSD.latitude,OSD.longitude,OSD.xSpeed [MPH],OSD.ySpeed [MPH],OSD.zSpeed [MPH],OSD.directionOfTravel,OSD.pitch,OSD.roll,OSD.yaw,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,HOME.longitude,HOME.latitude,adjusted height,Drone type
75,250.0,2023-10-15 17:16:35,33.26269374761046,126.17931435628266,1.2675993333333333,-0.447388,0.0,6.7,-19.866666666666667,-1.2333333333333334,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
76,250.0,2023-10-15 17:16:35,33.262693907984236,126.17931427426333,1.4167286666666667,-0.447388,0.0,7.3,-20.03333333333333,-1.1666666666666667,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
77,250.0,2023-10-15 17:16:35,33.262694068358,126.179314192244,1.565858,-0.447388,0.0,7.9,-20.2,-1.1,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
78,250.0,2023-10-15 17:16:35,33.26269430837037,126.179314092957,1.6404226666666666,-0.5219526666666666,0.0,7.4,-20.53333333333333,-1.0666666666666667,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
79,250.0,2023-10-15 17:16:35,33.26269454838273,126.17931399367,1.7149873333333334,-0.5965173333333333,0.0,6.9,-20.866666666666667,-1.0333333333333334,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
80,250.0,2023-10-15 17:16:35,33.2626947883951,126.179313894383,1.789552,-0.671082,0.0,6.4,-21.2,-1.0,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
81,250.0,2023-10-15 17:16:35,33.26269501276987,126.17931373575367,1.8641166666666666,-0.671082,0.0,7.9,-21.433333333333334,-1.0,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
82,250.0,2023-10-15 17:16:35,33.262695237144634,126.17931357712433,1.9386813333333335,-0.671082,0.0,9.4,-21.666666666666664,-1.0,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
83,250.0,2023-10-15 17:16:35,33.2626954615194,126.179313418495,2.013246,-0.671082,0.0,10.9,-21.9,-1.0,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
84,250.0,2023-10-15 17:16:35,33.262695784642865,126.17931327888134,2.1623753333333333,-0.7456466666666667,0.0,9.5,-22.099999999999998,-1.0333333333333334,-19.166666666666668,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
85,250.0,2023-10-15 17:16:35,33.26269610776633,126.17931313926766,2.311504666666667,-0.8202113333333333,0.0,8.1,-22.3,-1.0666666666666667,-19.133333333333333,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
86,250.0,2023-10-15 17:16:35,33.2626964308898,126.179312999654,2.460634,-0.894776,0.0,6.7,-22.5,-1.1,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
87,250.0,2023-10-15 17:16:35,33.26269678422613,126.179312863592,2.6097633333333334,-0.894776,0.0,6.433333333333334,-22.6,-1.1333333333333333,-19.133333333333333,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
88,250.0,2023-10-15 17:16:35,33.26269713756247,126.17931272753,2.7588926666666667,-0.894776,0.0,6.166666666666667,-22.7,-1.1666666666666667,-19.166666666666668,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
89,250.0,2023-10-15 17:16:35,33.2626974908988,126.179312591468,2.908022,-0.894776,0.0,5.9,-22.8,-1.2,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
90,250.0,2023-10-15 17:16:35,33.26269791045213,126.17931241475166,2.9825866666666667,-0.9693406666666667,0.0,6.1000000000000005,-22.866666666666667,-1.1666666666666667,-19.166666666666668,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
91,250.0,2023-10-15 17:16:35,33.26269833000547,126.17931223803534,3.057151333333333,-1.0439053333333335,0.0,6.3,-22.933333333333334,-1.1333333333333333,-19.133333333333333,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
92,250.0,2023-10-15 17:16:35,33.2626987495588,126.179312061319,3.131716,-1.11847,0.0,6.5,-23.0,-1.1,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
93,250.0,2023-10-15 17:16:35,33.262699203197634,126.17931183728133,3.280845333333333,-1.1930346666666667,0.0,6.866666666666666,-23.0,-1.1,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
94,250.0,2023-10-15 17:16:35,33.26269965683647,126.17931161324367,3.429974666666667,-1.2675993333333333,0.0,7.233333333333333,-23.0,-1.1,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
95,250.0,2023-10-15 17:16:35,33.2627001104753,126.179311389206,3.579104,-1.342164,0.0,7.6,-23.0,-1.1,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
96,250.0,2023-10-15 17:16:35,33.26270088232505,126.1793110586415,3.690951,-1.342164,0.0,7.1,-23.0,-1.05,-19.15,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
97,250.0,2023-10-15 17:16:36,33.2627016541748,126.179310728077,3.802798,-1.342164,0.0,6.6,-23.0,-1.0,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
98,250.0,2023-10-15 17:16:36,33.262702169141434,126.17931048343867,3.9519273333333333,-1.4167286666666665,0.0,6.833333333333333,-22.933333333333334,-1.0,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
99,250.0,2023-10-15 17:16:36,33.26270268410806,126.17931023880033,4.101056666666667,-1.4912933333333334,0.0,7.066666666666666,-22.866666666666667,-1.0,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
100,250.0,2023-10-15 17:16:36,33.2627031990747,126.179309994162,4.250186,-1.565858,0.0,7.3,-22.8,-1.0,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
101,250.0,2023-10-15 17:16:36,33.26270380064817,126.17930973537133,4.324750666666667,-1.565858,0.0,7.066666666666666,-22.733333333333334,-1.0,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
102,250.0,2023-10-15 17:16:36,33.26270440222163,126.17930947658067,4.399315333333334,-1.565858,0.0,6.833333333333333,-22.666666666666668,-1.0,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
103,250.0,2023-10-15 17:16:36,33.2627050037951,126.17930921779,4.47388,-1.565858,0.0,6.6,-22.6,-1.0,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
104,250.0,2023-10-15 17:16:36,33.262705619074865,126.179308907416,4.548444666666667,-1.6404226666666666,0.0,7.0,-22.166666666666668,-0.9666666666666667,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
105,250.0,2023-10-15 17:16:36,33.26270623435463,126.17930859704201,4.623009333333334,-1.7149873333333334,0.0,7.3999999999999995,-21.733333333333334,-0.9333333333333333,-19.166666666666668,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
106,250.0,2023-10-15 17:16:36,33.2627068496344,126.179308286668,4.697574,-1.789552,0.0,7.8,-21.3,-0.9,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
107,250.0,2023-10-15 17:16:36,33.26270752598003,126.179307990392,4.772138666666667,-1.789552,0.0,7.466666666666667,-20.133333333333333,-0.9,-19.133333333333333,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
